,Dt,Per_Value
0,2015-01-01,3.6
1,2015-02-01,3.6
2,2015-03-01,3.6
3,2015-04-01,4.2
4,2015-05-01,3.8
5,2015-06-01,3.5
6,2015-07-01,4.3
7,2015-08-01,3.8
8,2015-09-01,3.8
9,2015-10-01,4.1
10,2015-11-01,3.5
11,2015-12-01,3.4
12,2016-01-01,4.0
13,2016-02-01,3.8
14,2016-03-01,4.1
15,2016-04-01,4.2
16,2016-05-01,3.8
17,2016-06-01,3.7
18,2016-07-01,4.3
19,2016-08-01,3.9
20,2016-09-01,3.9
21,2016-10-01,3.9
22,2016-11-01,3.6
23,2016-12-01,3.5
24,2017-01-01,3.7
25,2017-02-01,3.8
26,2017-03-01,3.8
27,2017-04-01,4.4
28,2017-05-01,3.8
29,2017-06-01,4.0
30,2017-07-01,4.3
31,2017-08-01,4.2
32,2017-09-01,4.2
33,2017-10-01,4.3
34,2017-11-01,3.8
35,2017-12-01,3.7
36,2018-01-01,4.3
37,2018-02-01,4.1
38,2018-03-01,4.4
39,2018-04-01,4.8
40,2018-05-01,4.5
41,2018-06-01,4.6
42,2018-07-01,4.9
43,2018-08-01,4.7
44,2018-09-01,4.8
45,2018-10-01,4.8
46,2018-11-01,4.5
47,2018-12-01,4.3
48,2019-01-01,4.8
49,2019-02-01,4.3
50,2019-03-01,4.6
51,2019-04-01,4.9
52,2019-05-01,4.6
53,2019-06-01,4.5
54,2019-07-01,4.7
55,2019-08-01,4.7
56,2019-09-01,4.6
57,2019-10-01,4.8
58,2019-11-01,4.0
59,2019-12-01,3.8
60,2020-01-01,4.5
61,2020-02-01,4.2
62,2020-03-01,3.7
63,2020-04-01,3.8
64,2020-05-01,3.9
65,2020-06-01,4.1
66,2020-07-01,4.9
67,2020-08-01,4.5
68,2020-09-01,4.5
69,2020-10-01,4.9
70,2020-11-01,4.2
71,2020-12-01,4.1
72,2021-01-01,4.8
73,2021-02-01,5.0
74,2021-03-01,5.5
75,2021-04-01,6.4
76,2021-05-01,6.2
77,2021-06-01,6.4
78,2021-07-01,7.5
79,2021-08-01,7.0
80,2021-09-01,6.9
81,2021-10-01,7.4
82,2021-11-01,6.5
83,2021-12-01,6.6
84,2022-01-01,7.1
85,2022-02-01,7.0
86,2022-03-01,7.4
87,2022-04-01,7.7
88,2022-05-01,6.8
89,2022-06-01,6.6
90,2022-07-01,7.6
91,2022-08-01,6.2
92,2022-09-01,6.6
93,2022-10-01,6.7
94,2022-11-01,6.0
95,2022-12-01,6.2
96,2023-01-01,6.4
97,2023-02-01,5.8
98,2023-03-01,5.8
99,2023-04-01,6.4
100,2023-05-01,5.5
101,2023-06-01,5.4
102,2023-07-01,5.7
103,2023-08-01,5.6
104,2023-09-01,5.6
105,2023-10-01,5.5
106,2023-11-01,4.9
107,2023-12-01,4.8
108,2024-01-01,5.2
109,2024-02-01,5.0
110,2024-03-01,4.9
111,2024-04-01,4.9
112,2024-05-01,4.6
113,2024-06-01,4.3
114,2024-07-01,4.9
115,2024-08-01,4.6
116,2024-09-01,4.3
117,2024-10-01,4.8
118,2024-11-01,4.5
119,2024-12-01,4.2
120,2025-01-01,4.8
121,2025-02-01,4.4
122,2025-03-01,4.2
123,2025-04-01,4.8
124,2025-05-01,4.5
125,2025-06-01,4.2
126,2025-07-01,4.7
